"metric","percentile","value"
"nCount_RNA",0.01,1062
"nCount_RNA",0.05,1337
"nCount_RNA",0.1,1633
"nCount_RNA",0.25,2319
"nCount_RNA",0.5,3489
"nCount_RNA",0.75,7228
"nCount_RNA",0.9,15709
"nCount_RNA",0.95,22486.5
"nCount_RNA",0.99,42861.85
"nFeature_RNA",0.01,422
"nFeature_RNA",0.05,573
"nFeature_RNA",0.1,667
"nFeature_RNA",0.25,843
"nFeature_RNA",0.5,1103
"nFeature_RNA",0.75,1977
"nFeature_RNA",0.9,3257
"nFeature_RNA",0.95,4064
"nFeature_RNA",0.99,6053
"percent_mt",0.01,0.0749895066031839
"percent_mt",0.05,0.393587178378596
"percent_mt",0.1,1.0597302504817
"percent_mt",0.25,2.37895618081633
"percent_mt",0.5,3.52996558326946
"percent_mt",0.75,5.08360039500284
"percent_mt",0.9,7.58804699447148
"percent_mt",0.95,9.9903089656495
"percent_mt",0.99,16.2626405807029
