"Sample","cell_count","mean_nCount","median_nFeature","mean_percent_mt"
"BRONCHO_11",3178,5764.04562617999,1067,3.58680632614037
"BRONCHO_58",2813,7492.26164237469,1011,3.346838266591
"EBUS_06",2303,8343.17542336083,1096,2.74328524713443
"EBUS_10",5144,7064.15552099533,931,3.60312966617972
"EBUS_12",3115,10916.1518459069,2091,3.97294968567108
"EBUS_13",3550,6594.77436619719,1158.5,3.75339336064209
"EBUS_15",1105,9827.43348416289,1262,3.96413455435756
"EBUS_19",2112,7683.38352272726,1313.5,4.04950020896854
"EBUS_28",5182,11890.6848707063,2324,6.35143004243389
"EBUS_49",1775,5313.03943661972,1232,3.04662634795905
"EBUS_51",3275,9191.79389312975,1271,3.77320021824954
"EFFUSION_06",4884,5312.13697788698,1035,3.6687095449219
"EFFUSION_11",2943,4895.38226299694,1008,3.99041051642491
"EFFUSION_12",4224,5994.46590909091,1163.5,3.77008745668436
"EFFUSION_13",4441,5308.4550776852,1176,3.7624585505081
"EFFUSION_64",3812,3495.94386149003,1029,2.98072745852121
"LN_01",3626,3729.9749034749,904.5,2.28399858740898
"LN_02",3178,3886.23473882945,983,3.02561437287591
"LN_03",3013,3540.80882841022,958,2.41954281047634
"LN_04",3092,3522.54172056921,951.5,2.95056066545957
"LN_05",3087,2709.05604146421,781,1.49639739469309
"LN_06",2936,3640.2431880109,994,3.0457704148289
"LN_07",5713,2562.38858743217,748,2.35542674086977
"LN_08",4395,3371.81524459613,852,2.86740536266848
"LN_11",3788,4541.63885955649,989,2.41714277843535
"LN_12",4618,5404.98830662625,928,2.82832085302926
"LUNG_N01",3194,7263.17251095805,1341.5,5.50370645731605
"LUNG_N06",2839,9990.06269813314,1357,5.10301662385259
"LUNG_N08",3380,7645.8973372781,1279,5.3071679300139
"LUNG_N09",2528,10580.6689082278,2233,5.10548300078209
"LUNG_N18",4628,7417.76253241141,1342.5,5.03230063438028
"LUNG_N19",3870,6946.68785529716,1293,4.13939442193529
"LUNG_N20",5798,6077.16419454985,1587,5.69732514869185
"LUNG_N28",3411,5278.86162415714,1048,5.04211206863795
"LUNG_N30",3884,3997.90782698249,939,4.11756304567487
"LUNG_N31",4241,5619.97076161283,1349,4.3883340762406
"LUNG_N34",5222,5880.74320183837,972,5.41624029554654
"LUNG_T06",3426,5740.32983070637,1194.5,4.11511880047747
"LUNG_T08",3765,5587.71155378486,1082,3.90201365913725
"LUNG_T09",3840,7961.41979166666,1197,4.07904760765767
"LUNG_T18",3705,7744.35573549258,1386,5.53368495291147
"LUNG_T19",4361,6876.77275854161,1198,3.84700496931577
"LUNG_T20",4021,6733.07286744591,1073,4.30603747809476
"LUNG_T25",4374,5025.59259259259,927,3.75582943648554
"LUNG_T28",4705,7672.7638682253,1126,5.04246234012324
"LUNG_T30",4094,4668.73033707866,1026,1.35165194941749
"LUNG_T31",5578,4441.5426676228,861,3.30819820535842
"LUNG_T34",3280,10358.5094512195,2287.5,7.02528964101926
"NS_02",2313,8032.90229139645,1266,4.08746941718715
"NS_03",2990,15252.4668896321,3024,8.02884481673428
"NS_04",1904,20813.950105042,3644,6.24525743214552
"NS_06",1070,9884.77476635514,1556,3.62714795623208
"NS_07",5730,8318.41919720769,2351.5,7.27926846969912
"NS_12",3182,14781.5414833438,2438,5.50770190634048
"NS_13",4845,4645.23013415893,811,2.69166351265848
"NS_16",1317,6149.69552012149,1018,3.18488032262589
"NS_17",2409,11598.3673723537,1192,5.80443326515657
"NS_19",3300,7416.41727272727,1404,4.99857480701257
