"Sample","Patient_id"
"LUNG_N01","P0001"
"LUNG_N06","P0006"
"LUNG_N08","P0008"
"LUNG_N09","P0009"
"LUNG_N18","P0018"
"LUNG_N19","P0019"
"LUNG_N20","P0020"
"LUNG_N28","P0028"
"LUNG_N30","P0030"
"LUNG_N31","P0031"
"LUNG_N34","P0034"
"LUNG_T06","P0006"
"LUNG_T08","P0008"
"LUNG_T09","P0009"
"LUNG_T18","P0018"
"LUNG_T19","P0019"
"LUNG_T20","P0020"
"LUNG_T25","P0025"
"LUNG_T28","P0028"
"LUNG_T30","P0030"
"LUNG_T31","P0031"
"LUNG_T34","P0034"
"EBUS_06","P1006"
"EBUS_28","P1028"
"EBUS_49","P1049"
"BRONCHO_58","P1058"
"EBUS_10","P1010"
"BRONCHO_11","P1011"
"EBUS_12","P1012"
"EBUS_13","P1013"
"EBUS_15","P1015"
"EBUS_19","P1019"
"EBUS_51","P1051"
"LN_01","P2001"
"LN_02","P2002"
"LN_03","P2003"
"LN_04","P2004"
"LN_05","P2005"
"LN_06","P2006"
"LN_07","P2007"
"LN_08","P2008"
"LN_11","P2011"
"LN_12","P2012"
"EFFUSION_06","P1006"
"EFFUSION_11","P1011"
"EFFUSION_12","P1012"
"EFFUSION_13","P1013"
"EFFUSION_64","P1064"
"NS_02","P3002"
"NS_03","P3003"
"NS_04","P3004"
"NS_06","P3006"
"NS_07","P3007"
"NS_12","P3012"
"NS_13","P3013"
"NS_16","P3016"
"NS_17","P3017"
"NS_19","P3019"
